,TSLA,ROKU,TDOC,MSTR,SQ,SHOP,TTWO,TWLO,SPOT,NTLA,CRSP,EXAS,Z,TWTR,TER,DOCU,CGEN
2018-09-05,-0.028690612131907822,-0.029123140234251332,-0.022756005056890016,-0.019695431472081193,-0.04460273972602735,-0.04346340463336307,-0.04192061840344874,-0.06177517510621211,-0.05401802378286136,-0.022446324007807328,-0.03711711711711718,-0.02332173688957606,-0.0010477787091365265,-0.060562571756601735,-0.0072797864595972595,-0.026084272264238373,0.012820512820512997
2018-09-06,0.0011072370481233218,0.03684382132376918,-0.010996119016817518,-0.00020712510356257763,0.015599908235833793,-0.04179467028648998,0.011249030256012427,-0.014930853016766554,-0.010879368658399113,-0.09950083194675552,-0.06736526946107779,-0.010026385224274237,-0.0639815397524649,-0.058356248090436824,-0.032021510633096884,-0.08335974643423139,0.0
2018-09-07,-0.06323451698252192,0.025314465408804887,0.007848266841072427,6.905600441942106e-05,0.01603794894962718,0.04868774232031026,0.0015343306482549224,0.02285998260653499,0.014190459907676534,0.006282335550628293,0.00561797752808979,0.02905117270788904,0.0069475571492605415,-0.010707332900713906,0.002777777777777768,-0.015387275242047083,-0.025316455696202556
2018-09-10,0.08440966418477425,0.05371875479220978,0.0016223231667749083,0.013948349675459326,-0.006336149399733149,0.010522573764663923,-0.010647261585599477,0.0240495566622132,0.02539896605978864,-0.008813808299669601,-0.008978451715881852,-0.015928515928515963,0.026485644335633163,0.0016398819285010635,-0.006547469151347185,-0.05302897278314311,0.025974025974025983
2018-09-11,-0.021123800182161978,0.03299230131125119,0.012633624878523042,0.008308362843911787,0.03233023828168702,0.03940054879335819,0.0369309383710128,0.011623769422369978,0.00032880315651029335,0.0800296406076324,0.04328568552446144,-0.0010527701013290924,0.021899392888118152,0.011624099541584831,-0.02281368821292795,0.0007417022065641099,-0.012658227848101333
2018-09-12,0.03983108470815577,-0.00014088475626938823,-0.015355086372360827,0.006213697149804132,-0.019939315127871726,0.03675624450010151,-0.003509295900843701,-0.0032829171063430973,0.006464336583762442,0.03807890222984578,0.03685835584716313,-0.006191542616256096,0.008487163165711742,-0.037061013108917296,-0.048249027237354025,0.05984806373911433,-0.02564102564102566
2018-09-13,-0.0039234581497796794,-0.005147245314921833,0.010396361273554255,-0.006913679688548835,-0.002543122512162821,0.015474014102899059,0.02135471302262837,0.0034113633690153744,0.00566078815588944,0.023793787177792458,0.008189093616229437,0.01762990455991509,-0.019776982958131684,0.021176470588235352,0.019623875715453876,-0.03164335664335671,0.026315789473684292
2018-09-14,0.019660009674521417,0.007298380985968578,-0.005787781350482302,0.007164582629266558,0.006651147322913387,-0.004886517070661567,-0.016139681608099088,0.023212192262602516,-0.022407447499458666,0.002259522272433756,0.021598670851024515,-0.006382701576136407,-0.0008585533376261889,-0.008558262014483176,0.0037423148890671776,-0.029247156526448825,0.0
2018-09-17,-0.0010843414320084177,-0.019263217097862828,-0.03492884864165591,-0.012817931682437389,-0.043497412179275385,-0.007365768559798536,-0.019610767280590746,-0.0323098075160404,-0.02989702137083383,-0.03864734299516903,-0.09065775207806293,-0.03880440482433156,-0.04940923737916214,-0.04199867197875162,-0.008788282290279614,-0.02957039241212578,-0.02564102564102566
2018-09-18,-0.03344753892601515,0.03326164874551951,0.031501340482573914,0.019034670292318312,0.012779184895233664,0.05630410727071533,0.00897474901125661,0.011011129528771146,0.0015409199863030132,0.07135678391959788,0.056574528545595415,-0.007637752318603197,0.008813559322033981,0.012649454167388718,0.006985491671144484,0.018014564967420377,0.00657894736842124
